s,x_0,x_1,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag,stable
5.42404,0.0005704304,-0.002580177,-5.335364,0.0039902264,0.00209743,0.022504827,1.0,1.0,,0,1
5.439065,0.00056140684,-0.0026011374,-5.3510804,0.003973994,0.0021279606,0.02204775,1.0,1.0,,0,1
5.45409,0.00055228826,-0.0026211236,-5.3668013,0.0039569587,0.0021580916,0.021588644,1.0,1.0,,0,1
5.4691153,0.0005430393,-0.0026405435,-5.382527,0.003939248,0.0021877652,0.021127824,1.0,1.0,,0,1
5.4841404,0.0005334234,-0.002659604,-5.398257,0.0039200736,0.002216968,0.020665241,1.0,1.0,,0,1
5.499165,0.0005237553,-0.0026780386,-5.413991,0.003900527,0.0022456977,0.02020089,1.0,1.0,,0,1
5.51419,0.0005140547,-0.0026959665,-5.429731,0.0038807716,0.0022739528,0.019734813,1.0,1.0,,0,1
5.5292153,0.0005042553,-0.002713075,-5.4454737,0.003860335,0.0023017097,0.019267054,1.0,1.0,,0,1
5.5442405,0.0004940815,-0.0027295258,-5.4612226,0.00383828,0.002328933,0.018797679,1.0,1.0,,0,1
5.5592656,0.00048400648,-0.002745578,-5.4769745,0.0038166302,0.0023556335,0.018326702,1.0,1.0,,0,1
5.5742903,0.00047371164,-0.0027609002,-5.4927297,0.0037939406,0.002381765,0.017854229,1.0,1.0,,0,1
5.5893154,0.00046319328,-0.0027757455,-5.508492,0.00377041,0.002407362,0.017380282,1.0,1.0,,0,1
5.6043406,0.00045276526,-0.0027897898,-5.5242553,0.0037469866,0.002432355,0.016904935,1.0,1.0,,0,1
5.6193657,0.00044214074,-0.0028033573,-5.5400243,0.0037228584,0.0024567915,0.016428187,1.0,1.0,,0,1
5.634391,0.0004312275,-0.0028163306,-5.5557947,0.0036976375,0.002480602,0.01595005,0.99999994,1.0,,0,1
5.6494155,0.00042022672,-0.0028286073,-5.571569,0.003672007,0.0025037995,0.015470801,1.0,1.0,,0,1
5.6644406,0.00040923432,-0.0028402917,-5.587348,0.0036464042,0.0025263978,0.0149902655,0.99999994,1.0,,0,1
