s,x_0,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag
2.2838063,-1.2692686,1.7608078,0.19009209,0.0020532086,0.19956273,0.9999979,3.0723207,,0
2.293823,-1.273781,1.7692406,0.18689251,0.0020268848,0.19984527,0.99999785,3.098313,,0
2.3038397,-1.2782775,1.7776859,0.18367887,0.001999798,0.20010792,0.99999785,3.1242945,,0
2.3138564,-1.2827578,1.7861426,0.18045211,0.001971903,0.20035064,0.99999785,3.1502597,,0
2.323873,-1.2872219,1.7946098,0.17721128,0.0019432005,0.20057356,0.99999785,3.1762106,,0
2.33389,-1.2916706,1.8030918,0.17396069,0.0019137172,0.20077646,0.99999785,3.2021468,,0
2.3439066,-1.2961028,1.8115854,0.17070055,0.0018835798,0.20095995,0.99999785,3.2280617,,0
2.3539233,-1.300519,1.8200915,0.16743112,0.0018527064,0.20112385,0.9999979,3.2539575,,0
2.36394,-1.3049189,1.8286078,0.16415167,0.0018211572,0.20126815,0.99999785,3.2798321,,0
2.3739567,-1.3093034,1.8371403,0.16086745,0.0017891325,0.20139319,0.9999979,3.3056858,,0
2.3839734,-1.3136715,1.8456817,0.1575737,0.0017564425,0.20149915,0.9999979,3.3315163,,0
2.39399,-1.318024,1.8542373,0.1542747,0.0017232472,0.20158571,0.99999785,3.3573248,,0
2.4040067,-1.3223604,1.8628044,0.15097046,0.0016894325,0.20165324,0.99999785,3.3831062,,0
2.4140234,-1.3266815,1.8713868,0.1476636,0.0016552012,0.2017018,0.99999785,3.4088647,,0
2.42404,-1.3309864,1.8799801,0.14435244,0.0016205139,0.20173164,0.9999978,3.4345942,,0
2.4340568,-1.3352762,1.8885844,0.14103413,0.0015853393,0.20174247,0.9999978,3.4603035,,0
2.4440734,-1.3395495,1.897203,0.13771915,0.0015497904,0.20173499,0.9999978,3.4859757,,0
2.45409,-1.3438079,1.9058344,0.1344006,0.0015139673,0.20170896,0.99999785,3.511625,,0
2.4641068,-1.34805,1.9144788,0.13108444,0.0014778252,0.2016644,0.999998,3.5372376,,0
2.4741235,-1.3522769,1.9231374,0.12776923,0.0014413638,0.20160164,0.999998,3.5628211,,0
2.4841404,-1.3564883,1.9318075,0.124453545,0.0014046965,0.2015206,0.999998,3.5883741,,0
2.494157,-1.3606839,1.940491,0.12114215,0.0013678182,0.20142183,0.999998,3.6138914,,0
2.5041738,-1.3648643,1.9491868,0.11783171,0.0013307563,0.20130502,0.99999803,3.639377,,0
2.5141904,-1.369029,1.9578962,0.114527225,0.0012936288,0.20117041,0.999998,3.6648254,,0
2.524207,-1.3731787,1.9666188,0.11122608,0.00125638,0.20101814,0.9999979,3.6902406,,0
2.5342238,-1.3773128,1.975353,0.10792971,0.0012190968,0.20084858,0.999998,3.7156184,,0
2.5442405,-1.3814316,1.9841025,0.10464263,0.0011817766,0.20066161,0.99999803,3.740957,,0
2.5542572,-1.3855351,1.9928641,0.10136104,0.0011444236,0.20045741,0.999998,3.7662587,,0
2.5642738,-1.3896234,2.001639,0.09808755,0.0011072301,0.2002361,0.99999803,3.7915206,,0
2.5742905,-1.3936968,2.010426,0.0948205,0.0010700504,0.19999792,0.99999803,3.8167462,,0
2.5843072,-1.3977551,2.0192282,0.09156537,0.0010330803,0.19974285,0.99999803,3.8419302,,0
2.5943239,-1.4017981,2.0280426,0.08831978,0.0009962032,0.19947116,0.99999803,3.8670714,,0
2.6043406,-1.4058264,2.0368705,0.08508396,0.00095961214,0.1991828,0.99999803,3.8921738,,0
2.6143572,-1.4098396,2.0457113,0.081860065,0.0009231913,0.19887848,0.9999981,3.9172318,,0
2.624374,-1.4138379,2.0545664,0.07865,0.0008870561,0.1985574,0.9999981,3.9422464,,0
2.6343906,-1.4178212,2.0634341,0.07545233,0.0008512597,0.19822067,0.9999981,3.967217,,0
